Individual,WhatMode,Airport,DistSYR,DistALB,DistNYC,DistEWR,SafteyPersonal,SafteyTrainBus,SafteyCarpool,SafteyTaxi,SafteySharedTaxi,SafteyCS,SafteySCS,PrivacyPersonal,PrivacyTrainBus,PrivacyCarpool,PrivacyTaxi,PrivacySharedTaxi,PrivacyCS,PrivacySCS,ConviniencePersonal,ConvinienceTrainBus,ConvinienceCarpool,ConvinienceTaxi,ConvinienceSharedTaxi,ConvinienceCS,ConvinienceSCS,TimePersonal,TimeTrainBus,TimeCarpool,TimeTaxi,TimeSharedTaxi,TimeCS,TimeSCS,flightsYear,daysBreturn,luggage,ownVehicle,incomeB,familySize,ageB,shuttleMaxPersonsB,payUticaSYR,payUticaALB,CostPersonal,CostTrainBus,CostCarpool,CostTaxi,CostSharedTaxi,CostCS,CostSCS
65,Personal,SYR,60,120,270,,9,7,8,6,6,5,5,10,5,6,7,5,6,5,9,7,7,7,7,7,7,1:00:00,1:00:00,1:00:00,1:00:00,1:00:00,1:00:00,1:00:00,2,5,2,Yes,"$38,000 - $92,000",1,39-50,10 passengers,20,40,25,20,10,75,50,75,50
66,TrainBus,NYC,10,10,200,,3,7,9,8,8,8,8,10,4,8,6,6,5,5,8,7,9,9,10,10,10,3:30:00,4:00:00,3:00:00,3:00:00,3:15:00,3:30:00,3:30:00,10,6,1,Yes,"< $10,000",2,25-31,10 passengers,20,30,100,20,50,200,100,300,150
67,Personal,ALB,65,95,250,,8,9,7,6,7,7,7,10,6,6,7,6,7,7,10,7,9,8,7,8,9,1:30:00,2:00:00,1:30:00,2:00:00,2:00:00,2:00:00,2:00:00,12,6,2,Yes,"$92,000 - $192,000",3,51-65,20 pasengers,30,30,30,,20,60,40,80,60
68,Taxi,NYC,55,95,260,,8,8,8,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5:00:00,7:00:00,5:00:00,7:00:00,8:00:00,7:00:00,7:00:00,3,4,1,No,"< $10,000",4,18-24,10 passengers,20,35,100,500,50,50,50,50,50
69,Personal,SYR,40,90,300,,10,9,9,5,4,6,5,10,7,6,3,3,5,4,10,8,7,5,4,6,6,0:40:00,0:45:00,1:00:00,0:40:00,0:40:00,0:40:00,0:40:00,5,7,2,Yes,"$10,000 - $38,000",2,51-65,10 passengers,35,50,20,40,40,40,40,,
70,Carpool,SYR,55,95,260,,7,10,6,7,6,6,5,10,3,7,4,2,4,2,3,7,7,6,4,9,7,,,,,,,,8,5,1,No,"$38,000 - $92,000",2,25-31,20 pasengers,25,25,,,,,,,
71,Personal,SYR,65,70,180,,7,10,9,9,9,5,5,9,10,7,9,8,1,1,9,6,9,1,9,1,1,1:30:00,0:00:00,0:00:00,,,,,10,5,3,Yes,"$38,000 - $92,000",2,39-50,20 pasengers,25,25,,,,,,,
72,Taxi,SYR,65,150,400,,9,5,6,6,5,5,5,1,3,3,6,6,5,4,6,6,6,6,6,6,6,1:00:00,2:00:00,1:00:00,1:15:00,1:15:00,,,4,15,1,No,"$10,000 - $38,000",4,18-24,10 passengers,60,125,,,,,,,
73,Taxi,ALB,115,15,170,,5,7,5,6,6,6,6,10,3,3,5,3,2,3,10,6,4,6,4,9,5,0:25:00,0:08:00,0:25:00,0:25:00,0:35:00,,,4,3,1,No,"$38,000 - $92,000",1,39-50,10 passengers,25,30,,,,,,,
74,Taxi,ALB,115,15,170,,5,7,5,6,6,6,6,10,3,3,5,3,2,3,10,6,4,6,4,9,5,0:25:00,0:08:00,0:25:00,0:25:00,0:35:00,,,4,3,1,No,"$38,000 - $92,000",1,39-50,10 passengers,25,30,,,,,,,
